acno,sex,brth_dt,age,exec_dt,exec_amt,cur_bal,ovrd_dvcd,,CB,SP,R,PI,NPML,PIML,,연체금액
0037201901178545,M,19680908, 54 ,20191230," 50,000,000 "," 26,345,113 ",1,,6,6,10,10,8,6,,26345113
0037202001092064,M,19830527, 39 ,20201209," 25,000,000 "," 3,564,117 ",0,,1,4,3,3,1,2,,0
0037202001148177,M,19970825, 25 ,20190616," 5,000,000 "," 12,660,051 ",0,,5,5,5,1,3,4,,0
0037201901097016,M,19740716, 48 ,20190124," 3,000,000 "," 16,053,055 ",0,,1,4,2,5,2,3,,0
0037201901130181,M,19690128, 53 ,20190831," 30,000,000 "," 23,517,576 ",0,,3,4,3,2,1,2,,0
0037201901170923,M,19741212, 48 ,20210610," 50,000,000 "," 24,696,117 ",0,,1,3,3,3,1,5,,0
0037201901143573,M,19841026, 38 ,20190525," 5,000,000 "," 10,058,658 ",0,,2,5,2,4,1,3,,0
0037201901375071,M,19790806, 43 ,20201012," 45,000,000 "," 18,074,110 ",0,,1,4,4,2,3,5,,0
0037201901382547,F,19780917, 44 ,20210827," 20,000,000 "," 22,984,287 ",0,,5,3,3,3,2,1,,0
0037201901358792,F,19681113, 54 ,20200227," 3,000,000 "," 8,843,130 ",0,,3,4,2,3,1,4,,0
0037202001081701,M,19880112, 34 ,20210605," 1,500,000 "," 25,076,474 ",0,,2,4,1,4,1,4,,0
0037202001231647,M,19771105, 45 ,20211127," 3,000,000 "," 4,912,645 ",0,,2,2,2,3,5,5,,0
0037201901120729,F,19931219, 29 ,20200430," 5,000,000 "," 10,149,767 ",0,,5,1,2,4,4,5,,0
0037201901098934,M,19731216, 49 ,20200708," 5,000,000 "," 20,685,284 ",1,,9,10,8,7,8,10,,20685284
0037201901191636,M,19850909, 37 ,20190818," 3,000,000 "," 24,862,728 ",1,,10,7,8,9,7,6,,24862728
0037201901102014,M,19590520, 63 ,20210902," 45,000,000 "," 13,960,733 ",0,,3,2,2,1,5,1,,0
0037201901129858,M,19590302, 63 ,20190218," 50,000,000 "," 28,333,233 ",0,,5,1,2,2,4,1,,0
0037201901219756,M,19890321, 33 ,20200724," 45,000,000 "," 3,939,526 ",1,,8,6,8,7,8,8,,3939526
0037201901121252,M,19671019, 55 ,20190509," 3,000,000 "," 24,123,815 ",0,,3,4,2,3,3,2,,0
0037201901093784,M,19920327, 30 ,20210831," 20,000,000 "," 7,787,167 ",0,,2,2,5,2,3,3,,0
0037202001120361,M,19700311, 52 ,20211205," 40,000,000 "," 28,459,716 ",0,,5,4,1,2,3,4,,0
0037201901388339,M,19640106, 58 ,20191226," 5,000,000 "," 1,814,516 ",0,,2,4,3,1,3,2,,0
0037201901138039,M,19750801, 47 ,20190305," 20,000,000 "," 27,241,353 ",0,,1,4,3,4,3,1,,0
0037201901122780,M,19761012, 46 ,20200211," 40,000,000 "," 17,202,857 ",0,,1,2,5,1,1,2,,0
0037201901146819,M,19720514, 50 ,20201203," 40,000,000 "," 29,609,853 ",0,,5,1,3,5,4,5,,0
0037201901122592,M,19891210, 33 ,20210913," 50,000,000 "," 2,064,867 ",0,,2,3,1,5,5,4,,0
0037201901301017,M,19791209, 43 ,20200722," 1,500,000 "," 14,299,171 ",0,,3,4,4,4,1,1,,0
0037201901110667,F,19760215, 46 ,20191025," 20,000,000 "," 19,118,482 ",0,,3,2,1,4,2,5,,0
0037202001103337,M,19830804, 39 ,20210821," 45,000,000 "," 9,657,076 ",0,,4,2,4,5,5,1,,0
0037202001129998,F,19571001, 65 ,20190408," 40,000,000 "," 8,507,111 ",0,,1,4,4,5,1,4,,0
0037201901146685,M,19600105, 62 ,20210901," 50,000,000 "," 11,388,841 ",0,,3,1,2,1,1,4,,0
0037202001194174,M,19860106, 36 ,20191121," 1,500,000 "," 8,306,353 ",0,,5,5,1,4,1,5,,0
0037201901125561,F,19730517, 49 ,20200624," 5,000,000 "," 14,544,322 ",0,,1,5,2,4,2,5,,0
0037201901487240,F,19611018, 61 ,20210217," 5,000,000 "," 4,377,338 ",0,,2,4,3,2,3,1,,0
0037201901248814,M,19640510, 58 ,20201026," 30,000,000 "," 22,292,396 ",1,,7,10,7,6,10,8,,22292396
0037201901445809,M,19630812, 59 ,20210407," 20,000,000 "," 12,900,392 ",0,,4,1,2,1,2,1,,0
0037201901230015,F,19601010, 62 ,20211113," 25,000,000 "," 19,075,900 ",0,,5,1,5,1,3,5,,0
0037201901319131,M,19650921, 57 ,20200920," 1,500,000 "," 24,097,589 ",1,,6,9,9,6,9,8,,24097589
0037201901398766,F,19901012, 32 ,20200625," 1,500,000 "," 3,405,384 ",0,,5,2,1,4,1,5,,0
0037201901157645,M,19891031, 33 ,20210814," 10,000,000 "," 25,695,146 ",0,,4,1,3,3,5,5,,0
0037201901111580,M,19801222, 42 ,20201027," 40,000,000 "," 13,319,027 ",0,,5,1,5,5,4,1,,0
0037201901124982,F,19661015, 56 ,20190925," 3,000,000 "," 26,009,314 ",1,,10,7,9,8,6,9,,26009314
0037201901133857,M,19710117, 51 ,20191127," 40,000,000 "," 15,521,976 ",0,,2,2,5,2,2,3,,0
0037202001137977,F,19691219, 53 ,20201218," 40,000,000 "," 19,464,082 ",0,,4,2,3,3,1,5,,0
0037201901139853,F,19700118, 52 ,20200919," 45,000,000 "," 24,978,097 ",0,,4,5,4,4,3,5,,0
0037201901097932,M,19601001, 62 ,20210506," 10,000,000 "," 6,868,901 ",0,,2,2,3,2,4,1,,0
0037201901417817,M,19640322, 58 ,20210318," 25,000,000 "," 19,127,455 ",0,,4,3,4,5,3,4,,0
0037201901417088,F,19940502, 28 ,20200819," 45,000,000 "," 15,596,070 ",0,,5,4,3,1,3,2,,0
0037201901136736,M,19740611, 48 ,20200331," 45,000,000 "," 10,613,895 ",0,,5,2,2,1,2,3,,0
0037202001151912,F,19730512, 49 ,20210409," 1,500,000 "," 3,291,344 ",0,,3,1,2,4,4,4,,0
0037201901412959,M,19530824, 69 ,20211205," 40,000,000 "," 7,145,571 ",0,,5,2,3,5,4,5,,0
0037201901196311,M,19790916, 43 ,20190905," 30,000,000 "," 12,642,685 ",0,,5,5,1,2,1,5,,0
0037201901091625,F,19930907, 29 ,20200313," 40,000,000 "," 16,368,413 ",0,,3,2,4,3,5,3,,0
0037201901114720,F,19910201, 31 ,20191226," 50,000,000 "," 21,742,411 ",0,,5,1,2,3,2,4,,0
0037201901291259,M,19841022, 38 ,20191227," 3,000,000 "," 2,863,242 ",0,,2,5,5,4,3,4,,0
0037201901154396,M,19600106, 62 ,20190907," 3,000,000 "," 8,279,823 ",0,,3,3,2,5,3,2,,0
0037201901280762,M,19650120, 57 ,20200720," 50,000,000 "," 22,907,074 ",0,,5,3,3,2,5,5,,0
0037202001048498,M,19730512, 49 ,20210617," 45,000,000 "," 22,067,463 ",0,,4,3,1,3,3,2,,0
0037202001252501,F,19870305, 35 ,20210516," 5,000,000 "," 3,341,269 ",0,,3,5,4,2,4,4,,0
0037201901257600,M,19790205, 43 ,20210721," 3,000,000 "," 6,245,475 ",0,,3,5,3,4,3,3,,0
0037202001086669,M,19670727, 55 ,20200629," 10,000,000 "," 14,772,320 ",0,,4,5,4,3,1,1,,0
0037202001053846,M,19681015, 54 ,20211013," 20,000,000 "," 28,065,342 ",0,,5,4,1,3,2,4,,0
0037202001190315,M,19840120, 38 ,20210418," 10,000,000 "," 7,313,285 ",0,,2,2,4,2,4,3,,0
0037202001202577,M,19740826, 48 ,20200518," 45,000,000 "," 27,883,549 ",0,,1,4,1,5,3,2,,0
0037202001105032,M,19651029, 57 ,20200707," 25,000,000 "," 25,858,193 ",0,,4,4,5,1,4,3,,0
0037202001038463,M,19790306, 43 ,20211230," 20,000,000 "," 24,306,535 ",0,,5,5,4,1,2,4,,0
0037201901163897,F,19830706, 39 ,20191121," 10,000,000 "," 14,111,624 ",0,,5,2,2,2,2,1,,0
0037202001295393,M,19950208, 27 ,20211010," 25,000,000 "," 23,323,461 ",0,,2,4,4,3,5,5,,0
0037201901119285,M,19750102, 47 ,20201021," 50,000,000 "," 4,007,497 ",0,,5,2,4,2,4,5,,0
0037202001150093,M,19500310, 72 ,20201109," 40,000,000 "," 18,030,835 ",0,,4,4,3,1,4,4,,0
0037201901353433,M,19651222, 57 ,20200522," 25,000,000 "," 8,769,653 ",0,,1,3,4,3,4,3,,0
0037201901327075,F,19781128, 44 ,20210729," 20,000,000 "," 12,868,351 ",0,,4,3,4,2,2,5,,0
0037201901154290,F,19661001, 56 ,20201027," 3,000,000 "," 15,918,990 ",0,,5,1,3,1,2,1,,0
0037201901410049,F,19681223, 54 ,20210419," 30,000,000 "," 14,188,637 ",0,,5,5,3,5,3,1,,0
0037201901101377,F,19730806, 49 ,20201126," 50,000,000 "," 22,785,081 ",0,,4,5,4,1,5,4,,0
0037201901158856,M,19730626, 49 ,20210515," 5,000,000 "," 1,241,082 ",0,,3,2,2,3,3,4,,0
0037202001067276,M,19780122, 44 ,20200706," 5,000,000 "," 25,257,038 ",0,,2,5,3,2,1,4,,0
0037202001222588,M,19701212, 52 ,20190309," 40,000,000 "," 27,039,749 ",0,,4,5,1,3,2,3,,0
0037201901124973,M,19821112, 40 ,20200307," 1,500,000 "," 20,282,194 ",0,,2,1,1,4,1,4,,0
0037201901354112,F,19890818, 33 ,20190427," 3,000,000 "," 24,643,681 ",0,,3,1,4,3,2,3,,0
0037201901109477,F,19800212, 42 ,20211031," 3,000,000 "," 27,500,940 ",1,,7,7,10,8,6,8,,27500940
0037201901106796,M,19911222, 31 ,20200616," 25,000,000 "," 22,368,505 ",0,,5,1,3,4,4,4,,0
0037201901486885,M,19800220, 42 ,20200322," 3,000,000 "," 1,177,010 ",0,,3,2,5,3,3,3,,0
0037201901265315,F,19841110, 38 ,20200206," 1,500,000 "," 4,641,575 ",0,,1,2,3,4,2,3,,0
0037201901471347,F,19840206, 38 ,20210508," 20,000,000 "," 11,948,790 ",0,,4,2,5,1,3,1,,0
0037202001156457,M,19700204, 52 ,20190220," 50,000,000 "," 2,988,100 ",0,,5,1,3,1,2,3,,0
0037201901195286,M,19710617, 51 ,20200816," 25,000,000 "," 7,048,491 ",0,,3,4,3,2,4,2,,0
0037201901101600,F,19680210, 54 ,20200501," 45,000,000 "," 10,595,323 ",0,,4,5,3,1,5,4,,0
0037201901479886,M,19780225, 44 ,20190914," 45,000,000 "," 3,962,063 ",0,,3,5,5,1,4,5,,0
0037201901099577,M,19750712, 47 ,20190123," 30,000,000 "," 23,473,361 ",0,,1,5,1,4,4,1,,0
0037201901489361,M,19880616, 34 ,20200801," 25,000,000 "," 24,589,194 ",0,,2,4,1,5,1,2,,0
0037201901109465,M,19540708, 68 ,20200609," 5,000,000 "," 28,146,219 ",0,,2,4,1,1,4,1,,0
0037202001123443,M,19610104, 61 ,20190310," 45,000,000 "," 17,960,558 ",0,,2,2,3,2,5,5,,0
0037201901097887,M,19680104, 54 ,20191115," 40,000,000 "," 2,985,999 ",0,,2,2,5,3,1,4,,0
0037201901272135,M,19760621, 46 ,20200128," 5,000,000 "," 8,389,210 ",0,,1,4,5,5,2,4,,0
0037202001122365,M,19650726, 57 ,20190824," 40,000,000 "," 16,028,475 ",0,,4,4,4,2,3,2,,0
0037202001156876,F,19780716, 44 ,20201029," 10,000,000 "," 7,305,492 ",0,,3,5,1,3,2,2,,0
0037201901283487,F,19730806, 49 ,20200701," 50,000,000 "," 1,475,702 ",0,,3,3,1,3,5,5,,0
0037201901089899,M,19801224, 42 ,20190524," 50,000,000 "," 21,013,457 ",0,,1,1,4,3,4,4,,0
0037201901116585,M,19810603, 41 ,20200409," 10,000,000 "," 4,923,896 ",0,,1,1,2,5,2,1,,0
0037201901240038,F,19860308, 36 ,20190520," 30,000,000 "," 27,074,186 ",0,,5,3,4,1,3,5,,0
0037202001058561,M,19860108, 36 ,20211031," 40,000,000 "," 5,106,865 ",0,,5,5,1,2,5,3,,0
0037201901434824,F,19920507, 30 ,20210813," 20,000,000 "," 2,750,909 ",0,,1,3,4,5,3,4,,0
0037201901123785,M,19690601, 53 ,20200913," 10,000,000 "," 7,135,236 ",0,,2,2,3,5,1,4,,0
0037201901148586,M,19910103, 31 ,20190607," 1,500,000 "," 28,301,176 ",0,,1,3,3,4,1,2,,0
0037201901470174,M,19690913, 53 ,20190105," 40,000,000 "," 21,622,572 ",0,,3,1,3,2,5,1,,0
0037202001042792,M,19721023, 50 ,20190616," 3,000,000 "," 10,996,577 ",0,,2,3,3,2,1,1,,0
0037201901209511,M,19850202, 37 ,20200313," 25,000,000 "," 25,181,818 ",0,,1,3,1,1,5,2,,0
0037202001174489,F,19920305, 30 ,20210228," 20,000,000 "," 25,002,171 ",0,,2,4,4,4,3,4,,0
0037201901126882,M,19740409, 48 ,20200916," 25,000,000 "," 8,984,202 ",0,,2,4,2,1,2,2,,0
0037201901255936,M,19830219, 39 ,20200209," 5,000,000 "," 11,254,612 ",0,,5,5,5,2,3,4,,0
0037202001314600,M,19551122, 67 ,20211207," 10,000,000 "," 18,951,804 ",0,,1,5,1,5,3,4,,0
0037202001052978,F,19670427, 55 ,20190630," 45,000,000 "," 1,011,417 ",0,,5,3,5,3,2,3,,0
0037202001014638,M,19670816, 55 ,20190404," 1,500,000 "," 26,186,242 ",0,,4,3,2,1,3,3,,0
0037201901262076,M,19901217, 32 ,20190915," 30,000,000 "," 23,741,165 ",0,,2,1,1,3,2,2,,0
0037201901190655,F,19800902, 42 ,20190322," 30,000,000 "," 11,710,261 ",0,,5,1,2,3,5,3,,0
0037201901458536,F,19820801, 40 ,20210806," 3,000,000 "," 25,883,935 ",0,,3,1,3,1,4,4,,0
0037201901255020,M,19790920, 43 ,20200102," 40,000,000 "," 13,571,757 ",0,,3,1,3,1,4,2,,0
0037201901484459,F,19740128, 48 ,20210217," 45,000,000 "," 24,659,398 ",0,,5,5,2,1,1,5,,0
0037201901095127,M,19780911, 44 ,20210705," 5,000,000 "," 9,973,882 ",0,,4,2,5,3,4,2,,0
0037201901123609,M,19880210, 34 ,20200801," 5,000,000 "," 7,097,703 ",0,,4,5,1,4,4,5,,0
0037202001038088,M,19690521, 53 ,20210222," 50,000,000 "," 27,690,699 ",0,,3,4,2,5,1,5,,0
0037201901278507,F,19540909, 68 ,20190616," 25,000,000 "," 29,104,510 ",0,,4,5,5,4,2,1,,0
0037201901174592,M,19730519, 49 ,20211230," 30,000,000 "," 20,096,049 ",0,,3,3,2,5,5,5,,0
0037202001241716,M,19660329, 56 ,20200321," 5,000,000 "," 16,827,429 ",0,,2,5,2,1,4,5,,0
0037201901111881,M,19981012, 24 ,20210905," 30,000,000 "," 25,217,679 ",0,,1,2,3,1,3,2,,0
0037202001291991,M,19661130, 56 ,20210822," 1,500,000 "," 1,562,843 ",0,,3,3,2,2,4,1,,0
0037201901212438,M,19640904, 58 ,20200407," 30,000,000 "," 6,272,543 ",0,,2,2,2,3,2,1,,0
0037201901092854,M,19790225, 43 ,20200319," 25,000,000 "," 11,446,548 ",0,,3,5,5,5,3,4,,0
0037201901459787,M,19760214, 46 ,20210430," 5,000,000 "," 20,555,500 ",0,,1,3,5,3,4,5,,0
0037201901093845,F,19650218, 57 ,20190706," 10,000,000 "," 29,522,582 ",0,,3,5,1,3,1,1,,0
0037201901277049,F,19700426, 52 ,20200129," 20,000,000 "," 3,204,181 ",0,,3,1,4,3,2,4,,0
0037201901110935,M,19800706, 42 ,20201124," 25,000,000 "," 15,920,689 ",0,,3,5,5,5,2,2,,0
0037201901089891,M,19820103, 40 ,20210709," 3,000,000 "," 25,963,612 ",0,,3,4,2,5,2,2,,0
0037201901175095,F,19700215, 52 ,20210423," 30,000,000 "," 13,543,887 ",0,,1,2,5,3,4,3,,0
0037202001090752,F,19641217, 58 ,20200818," 5,000,000 "," 10,276,201 ",0,,5,4,2,5,1,1,,0
0037202001080956,M,19720903, 50 ,20190309," 30,000,000 "," 18,854,444 ",0,,5,4,1,4,4,4,,0
0037201901128398,F,19761019, 46 ,20200227," 3,000,000 "," 22,614,077 ",0,,2,5,4,2,1,3,,0
0037201901379920,F,19750915, 47 ,20190504," 3,000,000 "," 17,728,771 ",0,,5,4,5,3,3,1,,0
0037201901161755,F,19730830, 49 ,20190803," 20,000,000 "," 4,682,742 ",0,,5,1,5,1,5,4,,0
0037201901483269,F,19561103, 66 ,20211213," 3,000,000 "," 29,621,334 ",0,,2,1,1,1,1,5,,0
0037201901104126,F,19650912, 57 ,20190513," 25,000,000 "," 25,216,006 ",0,,4,4,1,4,2,5,,0
0037202001188816,M,19701207, 52 ,20210421," 5,000,000 "," 4,496,690 ",0,,2,5,3,1,2,4,,0
0037201901180535,M,19771023, 45 ,20211028," 3,000,000 "," 20,547,566 ",0,,4,4,2,3,5,3,,0
0037202001057404,M,19800503, 42 ,20190318," 40,000,000 "," 2,828,297 ",0,,1,5,5,3,5,2,,0
0037202001295469,M,19950208, 27 ,20200512," 40,000,000 "," 21,083,243 ",0,,4,2,2,3,1,3,,0
0037201901191455,F,19610618, 61 ,20190326," 50,000,000 "," 8,381,268 ",0,,1,4,1,3,5,3,,0
0037201901373263,F,19800104, 42 ,20210924," 40,000,000 "," 4,360,190 ",0,,5,1,2,5,3,5,,0
0037201901392397,F,19641228, 58 ,20191016," 40,000,000 "," 13,108,812 ",0,,4,3,3,4,5,1,,0
0037202001151511,M,19840605, 38 ,20190915," 30,000,000 "," 5,577,136 ",0,,4,5,2,3,5,1,,0
0037201901094384,F,19700215, 52 ,20191203," 30,000,000 "," 16,986,340 ",0,,2,1,4,4,1,2,,0
0037202001066577,M,19651004, 57 ,20190613," 50,000,000 "," 20,064,776 ",0,,5,1,2,3,1,3,,0
0037202001224058,M,19901016, 32 ,20210808," 40,000,000 "," 15,820,252 ",0,,2,1,3,5,4,5,,0
0037202001094458,F,19900206, 32 ,20210208," 40,000,000 "," 18,461,551 ",0,,3,5,5,5,1,1,,0
0037202001228453,M,19650717, 57 ,20190327," 50,000,000 "," 12,496,900 ",0,,1,1,5,5,5,5,,0
0037201901419977,M,19690321, 53 ,20200112," 40,000,000 "," 4,561,995 ",1,,6,10,8,9,10,6,,4561995
0037202001182658,M,19711129, 51 ,20210807," 40,000,000 "," 12,312,925 ",0,,4,1,4,5,1,2,,0
0037201901421473,F,19620724, 60 ,20191214," 20,000,000 "," 21,664,410 ",0,,3,5,5,4,4,2,,0
0037202001095589,F,19870324, 35 ,20200410," 3,000,000 "," 19,338,283 ",0,,3,4,4,4,5,1,,0
0037202001278938,F,19870528, 35 ,20201027," 40,000,000 "," 6,424,176 ",0,,5,2,2,1,1,3,,0
0037202001135025,M,19690515, 53 ,20210928," 3,000,000 "," 27,648,765 ",0,,1,2,3,5,1,4,,0
0037202001074402,M,19580716, 64 ,20210502," 10,000,000 "," 7,032,000 ",0,,2,5,5,3,3,4,,0
0037202001045287,M,19671225, 55 ,20190428," 5,000,000 "," 6,279,371 ",0,,1,4,4,4,3,3,,0
0037201901342131,F,19660902, 56 ,20191224," 40,000,000 "," 20,016,701 ",0,,5,1,2,2,3,3,,0
0037201901467397,M,19620502, 60 ,20200419," 5,000,000 "," 20,076,877 ",1,,10,6,10,8,7,9,,20076877
0037201901098319,M,19770306, 45 ,20190916," 45,000,000 "," 19,387,011 ",0,,2,5,4,5,4,5,,0
0037201901094313,F,19740916, 48 ,20210407," 1,500,000 "," 23,340,184 ",0,,2,4,3,3,2,5,,0
0037202001229633,F,19940330, 28 ,20190303," 5,000,000 "," 13,602,022 ",0,,4,1,2,3,3,2,,0
0037201901375039,F,19710114, 51 ,20200609," 25,000,000 "," 17,784,238 ",0,,4,4,3,4,2,4,,0
0037202001198240,M,19950118, 27 ,20190102," 40,000,000 "," 8,025,110 ",0,,5,3,2,5,3,3,,0
0037201901115016,M,19600527, 62 ,20190419," 40,000,000 "," 16,684,419 ",0,,3,5,3,3,1,2,,0
0037201901090864,M,19580813, 64 ,20200903," 3,000,000 "," 3,842,051 ",0,,1,5,5,2,5,4,,0
0037201901480114,M,19950618, 27 ,20190722," 40,000,000 "," 29,476,968 ",0,,1,3,5,4,5,2,,0
0037201901457962,M,19770418, 45 ,20210112," 30,000,000 "," 13,973,589 ",0,,2,2,5,3,2,1,,0
0037201901145133,M,19700125, 52 ,20210405," 25,000,000 "," 26,892,957 ",0,,5,1,4,1,3,5,,0
0037201901126058,F,19671215, 55 ,20191011," 5,000,000 "," 3,823,940 ",0,,1,5,4,1,3,5,,0
0037201901090741,F,19960708, 26 ,20190828," 1,500,000 "," 5,767,956 ",0,,5,5,2,1,3,4,,0
0037201901251420,M,19700807, 52 ,20200501," 40,000,000 "," 8,389,196 ",0,,2,5,1,3,1,1,,0
0037201901330853,M,19941103, 28 ,20201209," 10,000,000 "," 24,426,139 ",0,,3,4,2,1,1,4,,0
0037201901333949,M,19750728, 47 ,20191009," 45,000,000 "," 22,245,381 ",0,,5,4,2,2,5,1,,0
0037201901345015,M,19780205, 44 ,20191208," 40,000,000 "," 16,747,304 ",0,,2,4,5,1,2,4,,0
0037201901313462,M,19731112, 49 ,20211005," 45,000,000 "," 10,859,916 ",0,,2,3,1,4,2,5,,0
0037201901393975,F,19721201, 50 ,20200323," 45,000,000 "," 8,092,019 ",0,,2,5,4,4,2,5,,0
0037201901103954,M,19650310, 57 ,20210913," 45,000,000 "," 13,292,861 ",0,,5,4,3,4,3,3,,0
0037201901098292,M,19630729, 59 ,20210613," 30,000,000 "," 21,906,583 ",0,,3,4,1,5,5,2,,0
0037201901228786,F,19600111, 62 ,20210920," 20,000,000 "," 22,276,529 ",0,,3,3,4,1,3,5,,0
0037202001213375,M,19910307, 31 ,20200627," 5,000,000 "," 13,086,539 ",0,,5,3,3,2,4,5,,0
0037202001143859,M,19700805, 52 ,20190126," 40,000,000 "," 28,806,272 ",0,,4,2,4,4,4,5,,0
0037201901100134,M,19811006, 41 ,20211003," 45,000,000 "," 24,785,265 ",0,,1,2,4,1,2,3,,0
0037202001317495,F,19921212, 30 ,20191218," 50,000,000 "," 11,938,807 ",1,,9,6,9,9,10,8,,11938807
0037201901247485,M,19800815, 42 ,20200316," 50,000,000 "," 13,251,742 ",0,,4,3,1,1,3,3,,0
0037202001058919,F,19751223, 47 ,20190224," 20,000,000 "," 19,843,135 ",0,,2,1,5,1,2,5,,0
0037201901122149,M,19621023, 60 ,20210816," 10,000,000 "," 9,681,469 ",0,,2,2,2,2,5,3,,0
0037201901152071,F,19580227, 64 ,20200416," 45,000,000 "," 29,636,951 ",0,,5,1,5,1,1,3,,0
0037201901471346,F,19840206, 38 ,20210908," 5,000,000 "," 19,140,101 ",0,,4,1,2,4,4,5,,0
0037201901164719,F,19751106, 47 ,20211012," 25,000,000 "," 5,779,414 ",0,,3,3,1,5,3,1,,0
0037201901462556,F,19880119, 34 ,20200204," 10,000,000 "," 9,889,890 ",0,,4,3,4,1,1,4,,0
0037201901481168,F,19890512, 33 ,20211229," 3,000,000 "," 25,210,692 ",0,,2,2,4,5,3,5,,0
0037201901300729,M,19691107, 53 ,20200620," 1,500,000 "," 6,667,217 ",0,,4,5,3,4,1,5,,0
0037201901165541,F,19940302, 28 ,20200131," 3,000,000 "," 16,455,719 ",0,,2,4,2,1,3,5,,0
0037201901092208,M,19940302, 28 ,20211127," 25,000,000 "," 4,991,258 ",0,,1,2,5,3,2,3,,0
0037201901095322,M,19530724, 69 ,20210829," 50,000,000 "," 10,088,018 ",0,,2,3,1,5,5,3,,0
0037201901228638,M,19951204, 27 ,20211119," 50,000,000 "," 19,397,408 ",0,,5,3,5,1,5,3,,0
0037201901313788,M,19811018, 41 ,20210211," 40,000,000 "," 8,540,973 ",0,,4,3,3,2,3,2,,0
0037201901142905,F,19960310, 26 ,20191014," 45,000,000 "," 5,747,458 ",0,,1,5,4,5,5,2,,0
0037201901182062,F,19720424, 50 ,20210306," 40,000,000 "," 1,292,933 ",0,,2,5,1,4,3,5,,0
0037201901229395,F,19800929, 42 ,20210504," 45,000,000 "," 5,392,469 ",0,,2,3,2,3,5,4,,0
0037202001156653,M,19831228, 39 ,20200121," 20,000,000 "," 22,994,577 ",0,,5,2,5,4,1,3,,0
0037201901377840,M,19980213, 24 ,20190711," 1,500,000 "," 13,503,558 ",1,,9,10,10,8,6,6,,13503558
0037201901399183,M,19780622, 44 ,20190309," 1,500,000 "," 28,487,601 ",1,,8,10,10,9,8,9,,28487601
0037201901199974,M,19821016, 40 ,20190329," 25,000,000 "," 25,323,905 ",0,,3,1,5,3,4,1,,0
0037202001100998,F,19620428, 60 ,20210514," 30,000,000 "," 6,425,093 ",1,,10,7,6,8,9,9,,6425093
0037201901111424,M,19690202, 53 ,20190205," 3,000,000 "," 22,165,214 ",0,,2,1,3,2,3,4,,0
0037201901092367,M,19710130, 51 ,20190907," 3,000,000 "," 20,026,042 ",0,,2,3,4,4,1,1,,0
0037201901139584,F,19601212, 62 ,20191229," 40,000,000 "," 27,489,330 ",0,,5,1,5,3,3,4,,0
0037202001018279,M,19870626, 35 ,20200514," 20,000,000 "," 23,987,633 ",0,,4,1,1,3,4,4,,0
0037201901272154,M,19840717, 38 ,20201003," 3,000,000 "," 29,499,101 ",0,,5,5,5,2,4,1,,0
0037201901424046,M,19530726, 69 ,20210419," 45,000,000 "," 17,571,111 ",0,,5,2,3,1,1,3,,0
0037201901178728,F,19780717, 44 ,20210110," 45,000,000 "," 21,657,493 ",0,,1,3,1,4,2,3,,0
0037201901487309,M,19690509, 53 ,20210227," 30,000,000 "," 14,123,928 ",0,,3,2,3,1,5,1,,0
0037202001056336,F,19950409, 27 ,20210414," 40,000,000 "," 16,142,349 ",0,,5,5,3,1,5,5,,0
0037202001120266,M,19920122, 30 ,20200507," 3,000,000 "," 29,988,508 ",0,,5,4,3,5,5,3,,0
0037201901158834,M,19750519, 47 ,20210101," 1,500,000 "," 7,584,926 ",0,,5,3,4,4,5,2,,0
0037201901110568,F,19910120, 31 ,20211230," 5,000,000 "," 7,560,215 ",0,,5,4,1,2,3,3,,0
0037201901092797,M,19650316, 57 ,20190620," 50,000,000 "," 15,610,048 ",0,,4,3,4,4,5,1,,0
0037201901207110,M,19820912, 40 ,20191213," 40,000,000 "," 16,829,315 ",0,,3,5,4,1,4,4,,0
0037201901129522,M,19760104, 46 ,20190628," 40,000,000 "," 25,580,816 ",0,,4,3,3,3,2,1,,0
0037201901132247,M,19710727, 51 ,20190806," 20,000,000 "," 1,798,330 ",0,,4,5,5,3,2,4,,0
0037202001278884,M,19760526, 46 ,20191005," 3,000,000 "," 7,123,738 ",0,,1,2,2,3,5,1,,0
0037201901146576,M,19690214, 53 ,20210710," 1,500,000 "," 23,586,280 ",0,,5,5,1,5,4,1,,0
0037201901096232,F,19791108, 43 ,20191001," 50,000,000 "," 8,244,020 ",0,,2,2,4,4,2,4,,0
0037201901130267,M,19791215, 43 ,20210926," 45,000,000 "," 22,366,607 ",0,,4,1,2,5,2,1,,0
0037201901092373,F,19860520, 36 ,20210212," 30,000,000 "," 10,655,464 ",0,,4,3,4,3,3,2,,0
0037201901280750,M,19630303, 59 ,20200305," 40,000,000 "," 15,656,492 ",0,,5,1,1,5,2,2,,0
0037201901142630,F,19810622, 41 ,20190127," 30,000,000 "," 24,889,874 ",0,,4,4,2,4,3,2,,0
0037202001220918,M,19691014, 53 ,20211219," 50,000,000 "," 18,534,162 ",0,,1,4,4,4,3,3,,0
0037201901283961,M,19780701, 44 ,20200907," 45,000,000 "," 18,112,759 ",0,,5,5,1,3,2,4,,0
0037201901350413,F,19930327, 29 ,20190501," 5,000,000 "," 13,959,400 ",0,,1,4,1,4,3,1,,0
0037202001026157,F,19680226, 54 ,20191011," 25,000,000 "," 8,947,953 ",0,,2,5,1,5,5,2,,0
